ID,The Entity that I work for is:,The Functional area that I work in is best described as:,My Role is:,I have a clear understanding of who is leading the ERP Implementation and is accountable for the results:,Leadership has a shared vision for the ERP Implementation project priorities and direction:,My manager believes that the ERP Implementation Project will benefit:,I understand the benefits that the ERP Implementation Project will deliver:,I understand What is going to happen and When in the ERP Implementation Project:,I understand how I will be impacted in my role by the ERP Implementation Projects new Technology and Process’:,I have a clear understanding of what is expected of me in my role to ensure the success of the ERP Implementation Project:,I am receiving the right amount of information to support the ERP Implementation Project and be effective in my role:,I am engaged and excited about the ERP Implementation Project:,I know Where and Who to go to when I have a question regarding the ERP Implementation Project:,Created,Modified,Item Type,Path
39,MMC,Clinical,Director,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Don’t Know,12-07-2021 06:55,12-07-2021 06:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
40,MMC,Other,Manager,Disagree,Agree,Agree,Don’t Know,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Agree,12-07-2021 06:55,12-07-2021 06:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
41,New Rochelle,Finance/Accounting,Clinician,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12-07-2021 06:55,12-07-2021 06:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
42,MMC,Finance/Accounting,Manager,Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,12-07-2021 06:55,12-07-2021 06:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
43,MMC,Supply Chain,Individual Contributor,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,12-07-2021 06:55,12-07-2021 06:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
44,Nyack,Purchasing/Procurement,Director,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 06:56,12-07-2021 06:56,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
45,MMC,Finance/Accounting,Manager,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Don’t Know,Don’t Know,Agree,12-07-2021 06:56,12-07-2021 06:56,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
46,MMC,Clinical,Manager,Don’t Know,Strongly Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Don’t Know,Don’t Know,12-07-2021 06:57,12-07-2021 06:57,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
47,MMC,Finance/Accounting,Individual Contributor,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Disagree,Disagree,Disagree,12-07-2021 06:57,12-07-2021 06:57,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
48,MMC,Clinical,Manager,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 06:57,12-07-2021 06:57,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
49,MIT,Other,Director,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Don’t Know,Strongly Agree,Strongly Agree,12-07-2021 06:57,12-07-2021 06:57,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
50,Burke,Purchasing/Procurement,Individual Contributor,Agree,Agree,Agree,Agree,Agree,Don’t Know,Agree,Agree,Agree,Agree,12-07-2021 06:57,12-07-2021 06:57,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
51,Burke,Finance/Accounting,Individual Contributor,Agree,Agree,Strongly Agree,Agree,Don’t Know,Agree,Agree,Agree,Agree,Agree,12-07-2021 06:58,12-07-2021 06:58,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
52,MMC,Finance/Accounting,Individual Contributor,Agree,Agree,Don’t Know,Don’t Know,Agree,Don’t Know,Disagree,Disagree,Disagree,Agree,12-07-2021 06:58,12-07-2021 06:58,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
53,MMC,Other,Manager,Disagree,Don’t Know,Don’t Know,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don’t Know,Disagree,12-07-2021 06:58,12-07-2021 06:58,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
54,St. Luke’s,Purchasing/Procurement,Individual Contributor,Strongly Disagree,Strongly Disagree,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don’t Know,Don’t Know,Disagree,12-07-2021 06:58,12-07-2021 06:58,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
55,MMC,Other,Manager,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 06:58,12-07-2021 06:58,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
56,MMC,Supply Chain,Manager,Agree,Agree,Agree,Agree,Don’t Know,Agree,Agree,Agree,Agree,Agree,12-07-2021 06:58,12-07-2021 06:58,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
57,MMC,Other,Manager,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,12-07-2021 06:59,12-07-2021 06:59,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
58,MMC,Supply Chain,Manager,Agree,Agree,Agree,Agree,Agree,Don’t Know,Don’t Know,Agree,Agree,Agree,12-07-2021 06:59,12-07-2021 06:59,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
59,White Plains,Supply Chain,VP,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12-07-2021 06:59,12-07-2021 06:59,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
60,MMC,Other,Manager,Don’t Know,Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Disagree,Disagree,Don’t Know,Disagree,12-07-2021 07:00,12-07-2021 07:00,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
61,Nyack,Clinical,Director,Disagree,Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Disagree,Disagree,Disagree,Disagree,12-07-2021 07:00,12-07-2021 07:00,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
62,MMC,Purchasing/Procurement,Individual Contributor,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,12-07-2021 07:00,12-07-2021 07:00,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
63,Nyack,Other,Clinician,Disagree,Don’t Know,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Disagree,Disagree,12-07-2021 07:00,12-07-2021 07:00,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
64,MIT,Finance/Accounting,Individual Contributor,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,12-07-2021 07:01,12-07-2021 07:01,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
65,MMC,Finance/Accounting,Director,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,12-07-2021 07:01,12-07-2021 07:01,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
66,MMC,Finance/Accounting,Director,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Don’t Know,Don’t Know,12-07-2021 07:02,12-07-2021 07:02,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
67,MMC,Other,Manager,Don’t Know,Agree,Agree,Agree,Disagree,Disagree,Don’t Know,Disagree,Agree,Disagree,12-07-2021 07:03,12-07-2021 07:03,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
68,MMC,Clinical,Director,Don’t Know,Agree,Strongly Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Agree,Don’t Know,12-07-2021 07:04,12-07-2021 07:04,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
69,MMC,Other,Individual Contributor,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,12-07-2021 07:05,12-07-2021 07:05,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
70,MMC,Finance/Accounting,Individual Contributor,Don’t Know,Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Don’t Know,Don’t Know,12-07-2021 07:05,12-07-2021 07:05,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
71,MMC,Finance/Accounting,Manager,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 07:05,12-07-2021 07:05,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
72,CMO,Other,Manager,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Don’t Know,Don’t Know,Agree,Agree,Strongly Agree,12-07-2021 07:06,12-07-2021 07:06,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
73,MMC,Other,Manager,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 07:06,12-07-2021 07:06,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
74,MMC,Other,Manager,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:06,12-07-2021 07:06,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
75,MMC,Other,Individual Contributor,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:08,12-07-2021 07:08,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
76,CMO,Finance/Accounting,Director,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Agree,12-07-2021 07:08,12-07-2021 07:08,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
77,White Plains,Other,Manager,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 07:08,12-07-2021 07:08,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
78,MMC,Other,Manager,Agree,Agree,Don’t Know,Agree,Don’t Know,Agree,Agree,Don’t Know,Don’t Know,Agree,12-07-2021 07:10,12-07-2021 07:10,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
79,MMC,Clinical,Manager,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:10,12-07-2021 07:10,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
80,MMC,Finance/Accounting,Individual Contributor,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,12-07-2021 07:11,12-07-2021 07:11,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
81,New Rochelle,Other,Manager,Strongly Disagree,Don’t Know,Don’t Know,Strongly Disagree,Strongly Disagree,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,12-07-2021 07:11,12-07-2021 07:11,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
82,MMC,Other,Manager,Agree,Strongly Agree,Strongly Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Disagree,Don’t Know,Don’t Know,12-07-2021 07:11,12-07-2021 07:11,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
83,MMC,Finance/Accounting,Manager,Disagree,Don’t Know,Don’t Know,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,12-07-2021 07:13,12-07-2021 07:13,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
84,MMC,Supply Chain,Individual Contributor,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Disagree,Don’t Know,Don’t Know,12-07-2021 07:15,12-07-2021 07:15,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
85,MMC,Purchasing/Procurement,Individual Contributor,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,12-07-2021 07:20,12-07-2021 07:20,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
86,AECOM,Finance/Accounting,Manager,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Don’t Know,Strongly Agree,12-07-2021 07:20,12-07-2021 07:20,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
87,MMC,Purchasing/Procurement,Individual Contributor,Strongly Disagree,Disagree,Don’t Know,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,12-07-2021 07:21,12-07-2021 07:21,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
88,MMC,Other,Manager,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:23,12-07-2021 07:23,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
89,MMC,Purchasing/Procurement,Manager,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:24,12-07-2021 07:24,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
90,MMC,Other,Manager,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 07:27,12-07-2021 07:27,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
91,White Plains,Other,Manager,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:28,12-07-2021 07:28,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
92,MMC,Other,Manager,Strongly Disagree,Don’t Know,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,12-07-2021 07:28,12-07-2021 07:28,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
93,New Rochelle,Clinical,Manager,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12-07-2021 07:32,12-07-2021 07:32,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
94,AECOM,Other,Individual Contributor,Disagree,Disagree,Don’t Know,Don’t Know,Disagree,Don’t Know,Disagree,Disagree,Don’t Know,Disagree,12-07-2021 07:32,12-07-2021 07:32,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
95,New Rochelle,Supply Chain,Manager,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:33,12-07-2021 07:33,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
96,MMC,Other,Manager,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Don’t Know,Agree,Don’t Know,12-07-2021 07:33,12-07-2021 07:33,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
97,MMC,Finance/Accounting,Director,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12-07-2021 07:36,12-07-2021 07:36,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
98,MMC,Clinical,Manager,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Don’t Know,Agree,Agree,12-07-2021 07:37,12-07-2021 07:37,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
99,MMC,Other,Individual Contributor,Disagree,Don’t Know,Don’t Know,Disagree,Don’t Know,Don’t Know,Don’t Know,Disagree,Don’t Know,Don’t Know,12-07-2021 07:38,12-07-2021 07:38,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
100,MMC,Other,Manager,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 07:38,12-07-2021 07:38,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
101,White Plains,Clinical,Clinician,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:45,12-07-2021 07:45,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
102,Nyack,Finance/Accounting,Manager,Agree,Strongly Agree,Agree,Strongly Agree,Don’t Know,Agree,Don’t Know,Agree,Agree,Agree,12-07-2021 07:46,12-07-2021 07:46,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
103,MMC,Purchasing/Procurement,Manager,Agree,Agree,Don’t Know,Agree,Agree,Agree,Don’t Know,Don’t Know,Agree,Agree,12-07-2021 07:47,12-07-2021 07:47,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
104,White Plains,Clinical,Manager,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 07:51,12-07-2021 07:51,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
105,MMC,Purchasing/Procurement,Manager,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12-07-2021 07:54,12-07-2021 07:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
106,MMC,Supply Chain,Manager,Agree,Agree,Agree,Agree,Don’t Know,Agree,Agree,Don’t Know,Don’t Know,Disagree,12-07-2021 07:56,12-07-2021 07:56,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
107,MMC,Purchasing/Procurement,Director,Agree,Agree,Don’t Know,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Agree,Agree,12-07-2021 08:01,12-07-2021 08:01,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
108,MMC,Other,Director,Don’t Know,Don’t Know,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Disagree,Agree,Don’t Know,12-07-2021 08:07,12-07-2021 08:07,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
109,MMC,Clinical,Individual Contributor,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,12-07-2021 08:07,12-07-2021 08:07,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
110,Nyack,Other,Individual Contributor,Don’t Know,Agree,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Disagree,Agree,Agree,12-07-2021 08:09,12-07-2021 08:09,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
111,Nyack,Other,Individual Contributor,Don’t Know,Agree,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Disagree,Agree,Agree,12-07-2021 08:09,12-07-2021 08:09,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
112,MMC,Purchasing/Procurement,Individual Contributor,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Don’t Know,Strongly Agree,Agree,12-07-2021 08:10,12-07-2021 08:10,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
113,MMC,Purchasing/Procurement,Individual Contributor,Don’t Know,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Don’t Know,Agree,Don’t Know,12-07-2021 08:16,12-07-2021 08:16,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
114,MMC,Supply Chain,Manager,Don’t Know,Agree,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Agree,12-07-2021 08:23,12-07-2021 08:23,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
115,MMC,Other,Manager,Agree,Agree,Don’t Know,Agree,Agree,Agree,Agree,Don’t Know,Agree,Agree,12-07-2021 08:27,12-07-2021 08:27,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
116,MMC,Finance/Accounting,Individual Contributor,Don’t Know,Don’t Know,Agree,Agree,Strongly Disagree,Don’t Know,Don’t Know,Don’t Know,Agree,Agree,12-07-2021 08:29,12-07-2021 08:29,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
117,MMC,Finance/Accounting,Individual Contributor,Agree,Agree,Don’t Know,Agree,Disagree,Don’t Know,Don’t Know,Disagree,Disagree,Agree,12-07-2021 08:29,12-07-2021 08:29,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
118,MMC,Other,Manager,Don’t Know,Agree,Agree,Agree,Agree,Agree,Agree,Don’t Know,Agree,Agree,12-07-2021 08:32,12-07-2021 08:32,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
119,MMC,Supply Chain,Manager,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,12-07-2021 08:34,12-07-2021 08:34,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
120,MMC,Supply Chain,Director,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 08:35,12-07-2021 08:35,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
121,MMC,Clinical,Manager,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Don’t Know,Disagree,12-07-2021 08:37,12-07-2021 08:37,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
122,MMC,Clinical,Individual Contributor,Strongly Agree,Strongly Agree,Agree,Agree,Don’t Know,Disagree,Don’t Know,Agree,Agree,Don’t Know,12-07-2021 08:41,12-07-2021 08:41,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
123,MMC,Clinical,Manager,Agree,Agree,Don’t Know,Don’t Know,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 08:43,12-07-2021 08:43,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
124,MMC,Other,VP,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,12-07-2021 08:52,12-07-2021 08:52,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
125,MMC,Other,SVP,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,12-07-2021 09:00,12-07-2021 09:00,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
126,MMC,Finance/Accounting,Manager,Disagree,Don’t Know,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,12-07-2021 09:01,12-07-2021 09:01,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
127,Nyack,Other,Individual Contributor,Don’t Know,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Agree,Don’t Know,Agree,Don’t Know,12-07-2021 09:02,12-07-2021 09:02,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
